"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-19","0.00","0.0","0.0","68","79","57","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-20","0.47","0.0","0.0","63","77","49","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-21","0.00","0.0","0.0","62","71","52","0.0",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-22","0.01","0.0","0.0","59","71","46","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-23","0.00","0.0","0.0","59","71","46","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-24","0.03","0.0","0.0","55","68","41","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-25","0.00","0.0","0.0","60","77","42","0.0","    1","    1",,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-26","0.52","0.0","0.0","67","79","55","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-27","0.00","0.0","0.0","66","77","55","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-28","0.20","0.0","0.0","64","75","53","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-29","0.00","0.0","0.0","60","75","45","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-30","0.00","0.0","0.0","58","70","46","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-07-31","0.00",,"0.0","60","77","42","0.0","    1",,,,,,,,,,"    1",,,,,,,"    1",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-01","0.00","0.0","0.0","66","79","52","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-02","0.00","0.0","0.0","73","81","64","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-03","0.00","0.0","0.0","71","79","62","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-04","0.00","0.0","0.0","71","82","60","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-05","0.00","0.0","0.0","69","84","54","0.0","    1",,,,,,,,,,"    1",,,,,,,"    1",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-06","0.00","0.0","0.0","69","86","51","0.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-07","0.01","0.0","0.0","65","81","49","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-08","0.00","0.0","0.0","73","81","64","0.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-09","0.00","0.0","0.0","70","81","59","0.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-10","0.00","0.0","0.0","66","81","50","0.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-11","0.00","0.0","0.0","68","83","52","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-12","0.00","0.0","0.0","74","86","61","0.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-13","0.00","0.0","0.0","72","84","59","0.0","    1",,"    1",,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-14","0.00","0.0","0.0","59","72","45","0.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-15","0.00","0.0","0.0","59","77","41","0.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-16","0.21","0.0","0.0","68","79","57","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-17","0.00","0.0","0.0","61","70","52","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-18","0.00","0.0","0.0","59","69","48","0.0",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-19","0.29","0.0","0.0","65","74","56","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-20","0.00","0.0","0.0","68","81","55","0.0","    1","    1",,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-21","0.00","0.0","0.0","64","79","48","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-22","0.27","0.0","0.0","61","70","51","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-23","0.36","0.0","0.0","70","80","60","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-24","0.14","0.0","0.0","67","76","58","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-25","0.00","0.0","0.0","66","78","54","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-26","0.01","0.0","0.0","71","84","58","0.0",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-27","0.66","0.0","0.0","64","69","59","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-28","0.00","0.0","0.0","67","78","56","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-29","0.00","0.0","0.0","61","74","47","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-30","0.00","0.0","0.0","60","75","45","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-08-31","0.00","0.0","0.0","62","82","41","0.0",,,"    1",,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-01","0.00","0.0","0.0","58","69","47","0.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-02","0.00","0.0","0.0","54","67","41","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-03","0.00","0.0","0.0","54","73","34","0.0","    1","    1",,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-04","0.00","0.0","0.0","65","82","47","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-05","0.00","0.0","0.0","69","83","54","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-06","0.00","0.0","0.0","59","73","45","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-07","0.00","0.0","0.0","54","67","40","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-08","0.00","0.0","0.0","52","68","35","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-09","0.00","0.0","0.0","59","76","42","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-10","0.00","0.0","0.0","70","83","57","0.0",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-11","0.00","0.0","0.0","64","76","51","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-12","0.00","0.0","0.0","60","75","45","0.0","    1","    1",,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-13","0.00","0.0","0.0","64","76","51","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-14","0.00","0.0","0.0","67","81","52","0.0",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-15","0.00","0.0","0.0","59","74","43","0.0",,,,,,,,"    1",,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-16","0.00","0.0","0.0","66","83","48","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-17","0.00","0.0","0.0","66","84","47","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-18","0.00","0.0","0.0","61","77","44","0.0","    1",,,,,,,,,,,,,"    1",,,,"    1",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-19","0.21","0.0","0.0","59","63","54","0.0",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-20","0.01","0.0","0.0","50","56","44","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-21","0.00","0.0","0.0","42","57","27","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-22","0.00","0.0","0.0","45","61","28","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-23","0.00","0.0","0.0","50","63","37","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-24","0.00","0.0","0.0","51","64","38","0.0","    1","    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-25","0.00","0.0","0.0","53","62","43","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-26","0.06","0.0","0.0","54","58","50","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-27","0.00","0.0","0.0","50","63","36","0.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-28","0.00","0.0","0.0","54","74","33","0.0",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-29","0.00","0.0","0.0","52","61","42","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-09-30","0.00","0.0","0.0","43","53","32","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-01","0.00","0.0","0.0","40","53","27","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-02","0.00","0.0","0.0","37","53","21","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-03","0.00","0.0","0.0","42","58","26","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-04","0.00","0.0","0.0","44","57","30","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-05","0.75","0.0","0.0","51","54","48","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-06","0.34","0.0","0.0","52","56","47","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-07","0.00","0.0","0.0","43","57","28","0.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-08","0.00","0.0","0.0","45","62","27","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-09","0.00","0.0","0.0","57","70","44","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-10","0.00","0.0","0.0","48","55","41","0.0",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-11","0.22","0.0","0.0","51","57","44","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-12","0.05","0.0","0.0","42","52","32","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-13","0.00","0.0","0.0","38","44","32","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-14","0.47","0.0","0.0","42","48","35","0.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-15","0.43","0.0","0.0","42","48","36","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-16","0.80","0.0","0.0","48","49","47","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-17","0.69","0.0","0.0","42","47","37","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-18","0.01","0.0","0.0","39","41","36","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-19","0.02","0.0","0.0","40","43","36","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-20","0.01","0.0","0.0","36","46","26","0.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-21","0.00","0.0","0.0","36","50","22","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-22","0.00","0.0","0.0","51","68","33","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-23","0.00","0.0","0.0","56","73","38","0.0",,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","1998-10-24","0.00","0.0","0.0","50","64","35","0.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,
