"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00212555","ELY 25 E, MN US","1998-06-19",,,,"0.00","0.0","0.0","73","54","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-20",,,,"0.23","0.0","0.0","80","56","61",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-21",,,,"0.01","0.0","0.0","73","57","57",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-22",,,,"0.00","0.0","0.0","67","57","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-23",,,,"0.00","0.0","0.0","68","56","61",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-24",,,,"0.00","0.0","0.0","72","58","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-25",,,,"0.11","0.0","0.0","73","58","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-26",,,,"0.00","0.0","0.0","81","60","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-27",,,,"0.76","0.0","0.0","83","58","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-28",,,,"0.05","0.0","0.0","74","58","61",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-29",,,,"0.45","0.0","0.0","70","59","63",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-06-30",,,,"0.00","0.0","0.0","81","54","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-01",,,,"0.07","0.0","0.0","84","50","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-02",,,,"0.00","0.0","0.0","84","60","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-03",,,,"0.00","0.0","0.0","73","49","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-04",,,,"0.00","0.0","0.0","77","56","61",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-05",,,,"0.44","0.0","0.0","78","55","57",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-06",,,,"0.01","0.0","0.0","77","54","56",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-07",,,,"0.00","0.0","0.0","77","52","56",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-08",,,,"0.00","0.0","0.0","85","52","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-09",,,,"0.00","0.0","0.0","85","56","57",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-10",,,,"0.00","0.0","0.0","80","58","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-11",,,,"0.00","0.0","0.0","89","58","70",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-12",,,,"0.32","0.0","0.0","87","67","70",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-13",,,,"0.00","0.0","0.0","92","58","63",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-14",,,,"0.21","0.0","0.0","78","64","66",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-15",,,,"0.00","0.0","0.0","78","60","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-16",,,,"0.00","0.0","0.0","81","50","58",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-17",,,,"0.00","0.0","0.0","80","50","59",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-18",,,,"0.02","0.0","0.0","81","63","64",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-19",,,,"0.00","0.0","0.0","84","55","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-20",,,,"0.50","0.0","0.0","87","62","60",,,"    1",,,,
"USC00212555","ELY 25 E, MN US","1998-07-21",,,,"0.00","0.0","0.0","71","51","56",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-22",,,,"0.00","0.0","0.0","72","50","56",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-23",,,,"0.08","0.0","0.0","71","48","55",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-24",,,,"0.00","0.0","0.0","68","52","55",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-25",,,,"0.00","0.0","0.0","78","55","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-26",,,,"0.81","0.0","0.0","69","59","63",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-27",,,,"0.27","0.0","0.0","77","58","59",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-28",,,,"0.00","0.0","0.0","72","51","55",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-29",,,,"0.04","0.0","0.0","77","49","55",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-30",,,,"0.00","0.0","0.0","74","49","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-07-31",,,,"0.00","0.0","0.0","80","56","58",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-01",,,,"0.00","0.0","0.0","82","57","66",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-02",,,,"0.00","0.0","0.0","78","65","66",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-03",,,,"0.00","0.0","0.0","76","61","63",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-04",,,,"0.00","0.0","0.0","80","60","64",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-05",,,,"0.00","0.0","0.0","83","56","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-06",,,,"0.00","0.0","0.0","86","56","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-07",,,,"0.00","0.0","0.0","73","65","67",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-08",,,,"0.10","0.0","0.0","81","64","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-09",,,,"0.00","0.0","0.0","84","56","58",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-10",,,,"0.00","0.0","0.0","84","58","59",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-11",,,,"0.00","0.0","0.0","77","59","61",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-12",,,,"0.00","0.0","0.0","84","62","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-13",,,,"0.00","0.0","0.0","86","63","64",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-14",,,,"0.00","0.0","0.0","86","49","56",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-15",,,,"0.00","0.0","0.0","80","57","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-16",,,,"0.94","0.0","0.0","80","56","56",,,"    1",,"    1",,
"USC00212555","ELY 25 E, MN US","1998-08-17",,,,"0.00","0.0","0.0","80","47","48",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-18",,,,"0.00","0.0","0.0","67","48","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-19",,,,"0.50","0.0","0.0","71","65","68",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-20",,,,"0.00","0.0","0.0","76","53","58",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-21",,,,"0.00","0.0","0.0","79","54","55",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-22",,,,"0.44","0.0","0.0","65","57","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-23",,,,"0.23","0.0","0.0","81","57","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-24",,,,"0.01","0.0","0.0","74","58","65",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-25",,,,"0.00","0.0","0.0","77","56","61",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-26",,,,"0.00","0.0","0.0","82","61","64",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-27",,,,"0.44","0.0","0.0","78","59","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-28",,,,"0.10","0.0","0.0","78","60","63",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-29",,,,"0.00","0.0","0.0","74","52","53",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-30",,,,"0.00","0.0","0.0","77","49","50",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-08-31",,,,"0.00","0.0","0.0","80","49","60",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-01",,,,"0.00","0.0","0.0","72","51","51",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-02",,,,"0.00","0.0","0.0","66","43","45",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-03",,,,"0.00","0.0","0.0","71","43","55",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-04",,,,"0.00","0.0","0.0","83","55","66",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-05",,,,"0.00","0.0","0.0","87","54","59",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-06",,,,"0.00","0.0","0.0","74","52","54",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-07",,,,"0.00","0.0","0.0","70","46","51",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-08",,,,"0.00","0.0","0.0","66","44","53",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-09",,,,"0.00","0.0","0.0","75","53","63",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-10",,,,"0.00","0.0","0.0","86","63","69",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-11",,,,"0.06","0.0","0.0","83","55","58",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-12",,,,"0.00","0.0","0.0","77","56","56",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-13",,,,"0.43","0.0","0.0","73","56","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-14",,,,"0.09","0.0","0.0","74","51","51",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-15",,,,"0.00","0.0","0.0","71","49","52",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-16",,,,"0.00","0.0","0.0","80","49","55",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-17",,,,"0.00","0.0","0.0","78","55","62",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-18",,,,"1.44","0.0","0.0","81","46","51",,,"    1",,,,
"USC00212555","ELY 25 E, MN US","1998-09-19",,,,"0.74","0.0","0.0","60","51","53",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-20",,,,"0.00","0.0","0.0","61","35","43",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-21",,,,"0.00","0.0","0.0","55","26","34",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-22",,,,"0.00","0.0","0.0","58","35","53",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-23",,,,"0.03","0.0","0.0","65","47","50",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-24",,,,"0.04","0.0","0.0","65","51","54",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-25",,,,"0.04","0.0","0.0","65","50","54",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-26",,,,"0.49","0.0","0.0","58","50","50",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-27",,,,"0.00","0.0","0.0","61","40","42",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-28",,,,"0.45","0.0","0.0","71","41","48",,,"    1",,,,
"USC00212555","ELY 25 E, MN US","1998-09-29",,,,"0.08","0.0","0.0","59","42","47",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-09-30",,,,"0.06","0.0","0.0","59","30","45",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-01",,,,"0.00","0.0",,"51","24","35",,,,"    1",,,
"USC00212555","ELY 25 E, MN US","1998-10-02",,,,"0.00","0.0",,"51","32","41",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-03",,,,"0.00","0.0",,"54","35","40",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-04",,,,"0.00","0.0",,"53","46","50",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-05",,,,"0.43","0.0",,"52","48","52",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-06",,,,"0.14","0.0",,"52","42","43",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-07",,,,"0.00","0.0",,"51","22","33",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-08",,,,"0.00","0.0",,,,,,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-09",,,,"0.00","0.0",,,,,,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-10",,,,"0.00","0.0",,"70","41","45",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-11",,,,"0.14","0.0",,"54","42","42",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-12",,,,"0.04","0.0",,"44","33","37",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-13",,,,"0.01","0.0",,"44","33","35",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-14",,,,"0.15","0.0",,"44","34","39",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-25","   11","3.16",,,,,,,,,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-26",,,,"0.00","0.0",,"49","44","47",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-27",,,,"0.00","0.0",,"57","31","34",,"    1",,,,,
"USC00212555","ELY 25 E, MN US","1998-10-28",,,,"0.00","0.0",,"57","31","34",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-29",,,,"0.00","0.0",,"55","37","41",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-30",,,,"0.08","0.0",,"51","42","46",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-10-31",,,,"0.02","0.0",,"48","39","39",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-01",,,,"0.00",,,"49","28","33",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-02",,,,"0.00",,,"38","27","28",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-03",,,,"0.00",,,"38","17","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-04",,,,"0.00",,,"28","9","21",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-05",,,,"0.00",,,"28","21","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-06",,,,"0.00",,,"30","24","30",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-07",,,,"0.00",,,"31","30","31",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-08",,,,"0.00",,,"32","27","29",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-09",,,,"0.00",,,"35","27","27",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-10",,,,"0.01",,,"38","16","38",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-11",,,,"0.50","2.0","2.0","28","21","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-12",,,,"0.00",,,"26","9","19",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-13",,,,"0.05","0.5","2.0","24","16","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-14",,,,"0.34","3.8","5.0","32","22","32",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-15",,,,"0.00","0.0","5.0","34","24","26",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-16",,,,,"0.8","4.0","34","21","22",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-17",,,,"0.00",,,"28","21","25",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-18",,,,,"1.0","4.0","28","20","21",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-19",,,,"0.55","5.5","8.0","33","21","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-20",,,,"0.10","1.5","9.0","24","19","21",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-21",,,,"0.00",,,"28","9","12",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-22",,,,"0.00",,,"36","23","35",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-23",,,,"0.00",,,"48","23","35",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-24",,,,"0.00",,,"44","17","26",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-25",,,,"0.00",,,"37","27","34",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-26",,,,"0.00",,,"40","32","33",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-27",,,,"0.00",,,"36","24","31",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-28",,,,"0.00",,,"48","25","27",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-29",,,,"0.00",,,"43","27","37",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-11-30",,,,"0.00",,,"44","32","32",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-01",,,,"0.00","0.0",,"34","29","30",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-02",,,,"0.00","0.0",,"38","24","25",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-03",,,,"0.00","0.0",,"36","25","35",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-04",,,,"0.00","0.0",,"47","26","30",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-05",,,,"0.35","0.0",,"34","30","31",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-06",,,,"0.15","0.0",,"34","20","20",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-07",,,,"0.10",,,"27","15","21",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-08",,,,"0.00","0.0",,"27","21","23",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-09",,,,"0.00","0.0",,"27","13","21",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-10",,,,"0.00","0.0",,"37","18","19",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-11",,,,"0.00","0.0",,"37","17","20",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-12",,,,"0.00","0.0",,"46","20","28",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-13",,,,"0.00","0.0",,"44","16","21",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-14",,,,"0.00","0.0",,"38","16","35",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-15",,,,"0.00","0.0",,"51","34","35",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-16",,,,"0.00","0.0",,"35","24","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-17",,,,"0.00","0.0",,"27","16","17",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-18",,,,"0.09","1.8","2.0","27","11","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-19",,,,"0.06","2.3","3.0","27","-6","-6",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-20",,,,"0.00","0.0","3.0","2","-9","-3",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-21",,,,"0.12","2.0","4.0","8","-10","-10",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-22",,,,"0.00","0.0","4.0","-3","-21","-21",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-23",,,,"0.00","0.0","4.0","2","-22","-7",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-24",,,,"0.00","0.0","4.0","2","-8","-8",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-25",,,,"0.00","0.0","4.0","5","-8","-2",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-26",,,,"0.00","0.0","4.0","11","-9","-9",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-27",,,,"0.06","2.0","6.0","11","-10","9",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-28",,,,"0.00","0.0","6.0","15","-6","7",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-29",,,,"0.61","6.5","9.0","7","-13","-13",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-30",,,,"0.00","0.0","9.0","7","-30","-15",,,,,,,
"USC00212555","ELY 25 E, MN US","1998-12-31",,,,"0.00","0.0","9.0","-6","-17","-16",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-01",,,,"0.00",,,"-6","-36","-36",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-02",,,,"0.00",,,"1","-36","1",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-03",,,,"0.06","1.0",,"7","-2","1",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-04",,,,"0.00",,,"4","-15","-15",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-05",,,,"0.00",,,"-2","-20","-10",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-06",,,,"0.00",,,"6","-11","-11",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-07",,,,"0.00",,,"-8","-20","-20",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-08",,,,"0.00",,,"2","-20","-10",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-09",,,,"0.00",,,"2","-22","-20",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-10",,,,"0.00","0.0",,"-4","-16","-14",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-11",,,,"0.00",,,"-5","-26","-24",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-12",,,,"0.02","0.5",,"-9","-32","-26",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-13",,,,"0.00",,,"-9","-32","-27",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-14",,,,"0.00",,,"8","-27","7",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-15",,,,"0.12","2.0",,"14","-3","4",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-16",,,,"0.00",,,"31","4","29",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-17",,,,"0.00",,,"34","14","21",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-18",,,,"0.18","2.0","10.0","38","21","29",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-19",,,,"0.09","1.0","11.0","29","3","7",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-20",,,,"0.02","0.8","11.0","29","0","8",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-21",,,,"0.00","0.3","11.0","18","3","15",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-22",,,,"0.00",,,"26","14","26",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-23",,,,"0.00",,,"27","14","18",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-24",,,,"0.00",,,"26","1","8",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-25",,,,"0.00","0.0",,"18","1","9",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-26",,,,"0.00",,,"20","0","2",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-27",,,,"0.07","4.0","12.0","22","2","15",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-28",,,,"0.08","4.0",,"18","4","6",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-29",,,,"0.00",,,"20","4","17",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-30",,,,"0.00",,,"31","9","17",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-01-31",,,,"0.00",,,"41","12","12",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-01",,,,"0.00",,,"47","12","26",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-02",,,,"0.16","1.5","13.0","31","24","24",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-05",,,,"0.00",,,"19","2","19",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-06",,,,"0.00",,,"30","6","15",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-07",,,,"0.00",,,"22","3","22",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-08",,,,"0.00",,,"31","5","31",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-09",,,,"0.00","0.0",,"43","5","22",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-10",,,,"0.00",,,"28","7","26",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-11",,,,"0.00",,,"38","30","36",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-12",,,,"0.20","2.0",,"34","1","2",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-13",,,,"0.00","0.0",,"20","0","2",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-14",,,,"0.00",,,"31","-2","22",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-15",,,,"0.00",,,"44","18","22",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-16",,,,"0.30","5.5",,"25","5","6",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-17",,,,"0.16","3.0","15.0","10","-5","-5",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-18",,,,"0.00",,,"12","-19","-17",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-19",,,,"0.00",,,"19","-14","-6",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-20",,,,"0.00",,,"22","-16","-8",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-21",,,,"0.00",,,"28","-17","-15",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-22",,,,"0.00",,,"31","2","3",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-23",,,,"0.00",,,"33","7","8",,,,,,,
"USC00212555","ELY 25 E, MN US","1999-02-24",,,,"0.12","1.8",,"33","6","22",,,,,,,
