"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 21:00","1967","04","01","21:00","-3.9","","-10.0","","62","","18","","3","","24.1","","97.43","","","","-5","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 22:00","1967","04","01","22:00","-6.1","","-11.1","","69","","","","0","","24.1","","97.29","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-01 23:00","1967","04","01","23:00","-6.7","","-10.6","","73","","","","0","","24.1","","97.22","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 00:00","1967","04","02","00:00","-5.0","","-8.9","","75","","14","","3","","24.1","","97.08","","","","-6","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 01:00","1967","04","02","01:00","-3.9","","-10.0","","62","","14","","6","","24.1","","96.94","","","","-7","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 02:00","1967","04","02","02:00","-3.3","","-8.3","","68","","20","","6","","24.1","","96.88","","","","-6","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 03:00","1967","04","02","03:00","-3.3","","-6.1","","80","","18","","3","","24.1","","96.70","","","","-5","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 04:00","1967","04","02","04:00","-2.8","","-8.3","","65","","16","","6","","24.1","","96.48","","","","-5","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 05:00","1967","04","02","05:00","-3.9","","-6.1","","85","","11","","10","","1.6","","96.36","","","","-8","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 06:00","1967","04","02","06:00","-3.9","","-5.6","","86","","14","","3","","4.8","","96.28","","","","-5","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 07:00","1967","04","02","07:00","-3.9","","-5.6","","88","","","","0","","1.2","","96.20","","","","","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 08:00","1967","04","02","08:00","-6.7","","-8.9","","82","","18","","2","","2.4","","96.03","","","","-8","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 09:00","1967","04","02","09:00","-6.1","","-7.8","","88","","23","","3","","1.6","","96.01","","","","-8","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 10:00","1967","04","02","10:00","-2.2","","-3.9","","89","","25","","6","","24.1","","95.94","","","","-5","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 11:00","1967","04","02","11:00","-2.2","","-3.9","","87","","27","","13","","12.9","","95.97","","","","-7","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 12:00","1967","04","02","12:00","-2.2","","-4.4","","84","","27","","18","","24.1","","95.99","","","","-8","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 13:00","1967","04","02","13:00","-1.1","","-2.8","","88","","27","","13","","24.1","","96.00","","","","-5","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 14:00","1967","04","02","14:00","-1.1","","-6.1","","69","","29","","14","","19.3","","96.04","","","","-6","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 15:00","1967","04","02","15:00","0.0","","-5.0","","70","","29","","19","","24.1","","96.07","","","","-5","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 16:00","1967","04","02","16:00","0.0","","-5.0","","70","","29","","24","","24.1","","96.16","","","","-6","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 17:00","1967","04","02","17:00","-0.6","","-5.6","","69","","29","","21","","24.1","","96.28","","","","-6","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 18:00","1967","04","02","18:00","-1.7","","-8.9","","58","","29","","35","","24.1","","96.40","","","","-9","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 19:00","1967","04","02","19:00","-2.8","","-11.7","","50","","29","","24","","24.1","","96.52","","","","-9","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 20:00","1967","04","02","20:00","-5.0","","-16.7","","39","","32","","16","","24.1","","96.66","","","","-11","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 21:00","1967","04","02","21:00","-7.2","","-17.2","","44","","32","","29","","24.1","","96.83","","","","-16","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 22:00","1967","04","02","22:00","-9.4","","-17.8","","51","","32","","24","","24.1","","97.03","","","","-18","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-02 23:00","1967","04","02","23:00","-11.1","","-17.8","","57","","32","","19","","16.1","","97.18","","","","-19","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 00:00","1967","04","03","00:00","-13.3","","-18.3","","66","","32","","26","","24.1","","97.32","","","","-23","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 01:00","1967","04","03","01:00","-13.9","","-18.9","","65","","32","","19","","24.1","","97.42","","","","-23","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 02:00","1967","04","03","02:00","-15.0","","-18.3","","74","","29","","19","","24.1","","97.52","","","","-24","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 03:00","1967","04","03","03:00","-15.6","","-19.4","","71","","32","","16","","11.3","","97.60","","","","-24","","Snow"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 04:00","1967","04","03","04:00","-16.1","","-20.0","","73","","32","","13","","24.1","","97.68","","","","-24","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 05:00","1967","04","03","05:00","-17.2","","-21.7","","68","","27","","10","","24.1","","97.78","","","","-24","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 06:00","1967","04","03","06:00","-18.3","","-22.2","","71","","32","","6","","24.1","","97.84","","","","-23","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 07:00","1967","04","03","07:00","-18.3","","-22.8","","69","","32","","6","","24.1","","97.94","","","","-23","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 08:00","1967","04","03","08:00","-18.3","","-21.7","","74","","32","","10","","24.1","","98.08","","","","-25","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 09:00","1967","04","03","09:00","-16.7","","-21.7","","65","","29","","3","","24.1","","98.12","","","","-19","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 10:00","1967","04","03","10:00","-15.0","","-20.6","","62","","29","","6","","24.1","","98.15","","","","-19","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 11:00","1967","04","03","11:00","-13.3","","-18.3","","66","","27","","6","","24.1","","98.13","","","","-17","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 12:00","1967","04","03","12:00","-11.1","","-15.6","","71","","27","","10","","24.1","","98.07","","","","-17","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 13:00","1967","04","03","13:00","-9.4","","-14.4","","68","","29","","10","","24.1","","98.04","","","","-15","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 14:00","1967","04","03","14:00","-7.8","","-14.4","","58","","29","","6","","24.1","","97.97","","","","-11","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 15:00","1967","04","03","15:00","-6.7","","-15.0","","51","","25","","13","","24.1","","97.85","","","","-12","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 16:00","1967","04","03","16:00","-5.6","","-18.3","","35","","23","","11","","24.1","","97.72","","","","-10","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 17:00","1967","04","03","17:00","-5.0","","-17.2","","38","","25","","13","","24.1","","97.64","","","","-10","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 18:00","1967","04","03","18:00","-3.3","","-16.1","","36","","18","","16","","24.1","","97.53","","","","-9","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 19:00","1967","04","03","19:00","-3.9","","-19.4","","29","","20","","10","","24.1","","97.44","","","","-8","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 20:00","1967","04","03","20:00","-5.6","","-13.9","","51","","18","","3","","24.1","","97.30","","","","-7","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 21:00","1967","04","03","21:00","-6.1","","-16.1","","44","","18","","6","","24.1","","97.17","","","","-9","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 22:00","1967","04","03","22:00","-5.0","","-17.2","","38","","18","","5","","24.1","","97.07","","","","-7","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-03 23:00","1967","04","03","23:00","-3.9","","-16.1","","38","","18","","11","","24.1","","96.91","","","","-8","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 00:00","1967","04","04","00:00","-5.0","","-12.2","","57","","16","","6","","24.1","","96.74","","","","-8","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 01:00","1967","04","04","01:00","-4.4","","-13.3","","51","","18","","13","","24.1","","96.60","","","","-9","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 02:00","1967","04","04","02:00","-3.9","","-8.9","","69","","18","","10","","24.1","","96.40","","","","-8","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 03:00","1967","04","04","03:00","-2.8","","-7.2","","71","","18","","13","","24.1","","96.16","","","","-7","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 04:00","1967","04","04","04:00","-1.7","","-5.6","","74","","18","","19","","24.1","","95.90","","","","-7","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 05:00","1967","04","04","05:00","0.0","","-4.4","","72","","20","","13","","24.1","","95.70","","","","-4","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 06:00","1967","04","04","06:00","1.1","","-3.3","","72","","25","","10","","24.1","","95.60","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 07:00","1967","04","04","07:00","2.2","","-3.3","","67","","23","","13","","24.1","","95.48","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 08:00","1967","04","04","08:00","4.4","","-1.7","","63","","20","","16","","24.1","","95.34","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 09:00","1967","04","04","09:00","6.7","","-0.6","","60","","23","","24","","24.1","","95.28","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 10:00","1967","04","04","10:00","8.3","","0.0","","55","","23","","19","","24.1","","95.23","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 11:00","1967","04","04","11:00","10.6","","0.0","","49","","25","","16","","24.1","","95.26","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 12:00","1967","04","04","12:00","12.2","","0.6","","45","","25","","23","","24.1","","95.24","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 13:00","1967","04","04","13:00","12.8","","1.1","","45","","27","","29","","24.1","","95.26","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 14:00","1967","04","04","14:00","12.8","","0.6","","43","","27","","24","","24.1","","95.29","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 15:00","1967","04","04","15:00","13.3","","0.0","","40","","27","","21","","24.1","","95.30","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 16:00","1967","04","04","16:00","12.8","","-0.6","","39","","29","","13","","24.1","","95.41","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 17:00","1967","04","04","17:00","12.2","","-1.1","","39","","32","","23","","24.1","","95.50","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 18:00","1967","04","04","18:00","11.1","","-1.1","","42","","32","","16","","24.1","","95.53","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 19:00","1967","04","04","19:00","10.0","","-2.8","","41","","32","","23","","24.1","","95.66","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 20:00","1967","04","04","20:00","7.2","","-2.2","","52","","32","","16","","24.1","","95.83","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 21:00","1967","04","04","21:00","5.6","","-2.2","","57","","34","","16","","24.1","","95.96","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 22:00","1967","04","04","22:00","3.9","","-2.8","","63","","34","","13","","24.1","","96.07","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-04 23:00","1967","04","04","23:00","2.8","","-3.3","","63","","34","","16","","24.1","","96.14","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 00:00","1967","04","05","00:00","2.2","","-3.9","","64","","32","","19","","24.1","","96.24","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 01:00","1967","04","05","01:00","2.2","","-5.0","","60","","32","","16","","24.1","","96.30","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 02:00","1967","04","05","02:00","0.6","","-3.9","","71","","34","","19","","24.1","","96.36","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 03:00","1967","04","05","03:00","-0.6","","-3.9","","77","","36","","13","","24.1","","96.50","","","","-5","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 04:00","1967","04","05","04:00","-1.1","","-3.9","","81","","2","","10","","24.1","","96.56","","","","-5","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 05:00","1967","04","05","05:00","-1.1","","-5.0","","76","","2","","6","","24.1","","96.58","","","","-3","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 06:00","1967","04","05","06:00","-1.1","","-4.4","","80","","2","","6","","24.1","","96.66","","","","-3","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 07:00","1967","04","05","07:00","-1.7","","-5.6","","76","","2","","6","","24.1","","96.74","","","","-4","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 08:00","1967","04","05","08:00","-1.7","","-5.0","","79","","5","","5","","24.1","","96.81","","","","-4","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 09:00","1967","04","05","09:00","-1.7","","-6.1","","71","","5","","10","","24.1","","96.84","","","","-5","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 10:00","1967","04","05","10:00","-1.7","","-6.1","","73","","36","","5","","24.1","","96.84","","","","-4","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 11:00","1967","04","05","11:00","-0.6","","-5.0","","71","","9","","6","","24.1","","96.87","","","","-3","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 12:00","1967","04","05","12:00","0.0","","-6.1","","64","","36","","5","","24.1","","96.90","","","","-2","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 13:00","1967","04","05","13:00","1.1","","-2.8","","75","","32","","6","","24.1","","96.91","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 14:00","1967","04","05","14:00","1.1","","-5.0","","64","","25","","6","","24.1","","96.84","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 15:00","1967","04","05","15:00","2.8","","-6.1","","52","","9","","3","","24.1","","96.78","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 16:00","1967","04","05","16:00","3.9","","-5.6","","49","","34","","10","","24.1","","96.75","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 17:00","1967","04","05","17:00","4.4","","-5.6","","48","","36","","3","","24.1","","96.79","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 18:00","1967","04","05","18:00","4.4","","-7.2","","42","","36","","13","","24.1","","96.74","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 19:00","1967","04","05","19:00","3.9","","-7.8","","42","","2","","3","","24.1","","96.70","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 20:00","1967","04","05","20:00","0.6","","-7.8","","53","","","","0","","24.1","","96.70","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 21:00","1967","04","05","21:00","-1.1","","-10.6","","49","","","","0","","24.1","","96.74","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 22:00","1967","04","05","22:00","-0.6","","-5.0","","71","","9","","2","","24.1","","96.78","","","","-1","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-05 23:00","1967","04","05","23:00","-1.1","","-4.4","","78","","11","","3","","24.1","","96.82","","","","-2","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 00:00","1967","04","06","00:00","-0.6","","-5.0","","71","","14","","10","","24.1","","96.87","","","","-4","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 01:00","1967","04","06","01:00","-1.1","","-8.3","","59","","14","","10","","24.1","","96.91","","","","-5","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 02:00","1967","04","06","02:00","-1.7","","-10.0","","53","","9","","6","","24.1","","96.87","","","","-4","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 03:00","1967","04","06","03:00","-2.2","","-7.2","","70","","9","","5","","24.1","","96.84","","","","-4","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 04:00","1967","04","06","04:00","-2.2","","-6.7","","71","","9","","6","","24.1","","96.88","","","","-5","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 05:00","1967","04","06","05:00","-2.8","","-7.8","","70","","5","","5","","24.1","","96.90","","","","-5","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 06:00","1967","04","06","06:00","-2.8","","-6.7","","74","","7","","6","","24.1","","96.93","","","","-5","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 07:00","1967","04","06","07:00","-3.3","","-7.8","","71","","7","","6","","24.1","","96.99","","","","-6","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 08:00","1967","04","06","08:00","-3.3","","-11.7","","52","","5","","5","","24.1","","97.02","","","","-5","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 09:00","1967","04","06","09:00","-2.2","","-10.0","","56","","11","","10","","24.1","","97.01","","","","-6","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 10:00","1967","04","06","10:00","-0.6","","-11.1","","45","","9","","5","","24.1","","96.98","","","","-2","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 11:00","1967","04","06","11:00","1.1","","-8.3","","50","","9","","13","","24.1","","96.96","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 12:00","1967","04","06","12:00","2.2","","-7.2","","50","","5","","3","","24.1","","96.97","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 13:00","1967","04","06","13:00","2.8","","-6.7","","50","","34","","5","","24.1","","96.93","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 14:00","1967","04","06","14:00","3.9","","-6.7","","47","","9","","6","","24.1","","96.91","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 15:00","1967","04","06","15:00","4.4","","-6.1","","46","","36","","6","","24.1","","96.86","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 16:00","1967","04","06","16:00","5.6","","-4.4","","48","","32","","10","","24.1","","96.82","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 17:00","1967","04","06","17:00","5.0","","-6.1","","45","","36","","3","","24.1","","96.82","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 18:00","1967","04","06","18:00","5.6","","-4.4","","48","","34","","13","","24.1","","96.83","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 19:00","1967","04","06","19:00","4.4","","-5.0","","50","","34","","8","","24.1","","96.84","","","","","","Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 20:00","1967","04","06","20:00","1.1","","-5.0","","64","","","","0","","24.1","","96.87","","","","","","Mostly Cloudy"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 21:00","1967","04","06","21:00","-1.7","","-5.6","","74","","","","0","","24.1","","96.91","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 22:00","1967","04","06","22:00","-2.8","","-5.6","","82","","","","0","","24.1","","96.97","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-06 23:00","1967","04","06","23:00","-3.9","","-7.8","","76","","","","0","","24.1","","97.00","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 00:00","1967","04","07","00:00","-5.0","","-7.8","","79","","","","0","","24.1","","97.00","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 01:00","1967","04","07","01:00","-6.1","","-8.3","","84","","","","0","","24.1","","97.01","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 02:00","1967","04","07","02:00","-6.7","","-8.3","","86","","","","0","","24.1","","97.01","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 03:00","1967","04","07","03:00","-6.1","","-7.8","","87","","","","0","","24.1","","97.02","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 04:00","1967","04","07","04:00","-7.2","","-9.4","","85","","","","0","","24.1","","97.04","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 05:00","1967","04","07","05:00","-7.8","","-9.4","","87","","","","0","","24.1","","97.04","","","","","","Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 06:00","1967","04","07","06:00","-8.9","","-10.6","","86","","","","0","","24.1","","97.06","","","","","","Mainly Clear"
"-91.62","48.75","ATIKOKAN","6020379","1967-04-07 07:00","1967","04","07","07:00","-7.8","","-10.0","","85","","","","0","","24.1","","97.11","","","","","","Mainly Clear"
